id,sample_accession,study_accession
ERR067641,SAMEA1016093,PRJEB2138
ERR067643,SAMEA1016182,PRJEB2138
ERR067644,SAMEA1016196,PRJEB2138
ERR067645,SAMEA1016142,PRJEB2138
ERR067647,SAMEA1016008,PRJEB2138
ERR067649,SAMEA1015996,PRJEB2138
ERR067650,SAMEA1016053,PRJEB2138
ERR067651,SAMEA1016034,PRJEB2138
ERR067653,SAMEA1015962,PRJEB2138
ERR067654,SAMEA1015978,PRJEB2138
ERR067655,SAMEA1016147,PRJEB2138
ERR067656,SAMEA1016165,PRJEB2138
ERR067657,SAMEA1016179,PRJEB2138
ERR067658,SAMEA1016198,PRJEB2138
ERR067659,SAMEA1016197,PRJEB2138
ERR067660,SAMEA1016066,PRJEB2138
ERR067661,SAMEA1016081,PRJEB2138
ERR067663,SAMEA1016037,PRJEB2138
ERR067665,SAMEA1016002,PRJEB2138
ERR067666,SAMEA1016005,PRJEB2138
ERR067667,SAMEA1015957,PRJEB2138
ERR067668,SAMEA1015968,PRJEB2138
ERR067670,SAMEA1015935,PRJEB2138
ERR067671,SAMEA1015943,PRJEB2138
ERR067672,SAMEA1016174,PRJEB2138
ERR067673,SAMEA1015986,PRJEB2138
ERR067674,SAMEA1016006,PRJEB2138
ERR067675,SAMEA1016025,PRJEB2138
ERR067676,SAMEA1016043,PRJEB2138
ERR067677,SAMEA1016061,PRJEB2138
ERR067678,SAMEA1015936,PRJEB2138
ERR067679,SAMEA1015937,PRJEB2138
ERR067680,SAMEA1015954,PRJEB2138
ERR067682,SAMEA1015975,PRJEB2138
ERR067683,SAMEA1016088,PRJEB2138
ERR067684,SAMEA1016062,PRJEB2138
ERR067685,SAMEA1016190,PRJEB2138
ERR067686,SAMEA1016172,PRJEB2138
ERR067687,SAMEA1016187,PRJEB2138
ERR067688,SAMEA1016167,PRJEB2138
ERR067689,SAMEA1016146,PRJEB2138
ERR067690,SAMEA1015959,PRJEB2138
ERR067691,SAMEA1015977,PRJEB2138
ERR067692,SAMEA1015932,PRJEB2138
ERR067693,SAMEA1016015,PRJEB2138
ERR067694,SAMEA1015990,PRJEB2138
ERR067695,SAMEA1016055,PRJEB2138
ERR067696,SAMEA1016039,PRJEB2138
ERR067697,SAMEA1016075,PRJEB2138
ERR067700,SAMEA1016126,PRJEB2138
ERR067703,SAMEA1016178,PRJEB2138
ERR067704,SAMEA1016202,PRJEB2138
ERR067705,SAMEA1016185,PRJEB2138
ERR067706,SAMEA1016191,PRJEB2138
ERR067708,SAMEA1016161,PRJEB2138
ERR067709,SAMEA1016163,PRJEB2138
ERR067711,SAMEA1016122,PRJEB2138
ERR067713,SAMEA1016044,PRJEB2138
ERR067714,SAMEA1016028,PRJEB2138
ERR067715,SAMEA1016013,PRJEB2138
ERR067716,SAMEA1015989,PRJEB2138
ERR067717,SAMEA1015979,PRJEB2138
ERR067718,SAMEA1015922,PRJEB2138
ERR067719,SAMEA1015980,PRJEB2138
ERR067721,SAMEA1016089,PRJEB2138
ERR067722,SAMEA1016101,PRJEB2138
ERR067723,SAMEA1016099,PRJEB2138
ERR067724,SAMEA1016117,PRJEB2138
ERR067725,SAMEA1016024,PRJEB2138
ERR067726,SAMEA1016000,PRJEB2138
ERR067727,SAMEA1016045,PRJEB2138
ERR067728,SAMEA1016026,PRJEB2138
ERR067729,SAMEA1016047,PRJEB2138
ERR067730,SAMEA1015988,PRJEB2138
ERR067731,SAMEA1016019,PRJEB2138
ERR067733,SAMEA1016113,PRJEB2138
ERR067734,SAMEA1016128,PRJEB2138
ERR067735,SAMEA1016072,PRJEB2138
ERR067736,SAMEA1016084,PRJEB2138
